id,pattern,reward
Prof Ellis0,"['d', 'w', 'a', 'a', 'd', 'd', 'd', 'd', 'w', 'w', 'd', 'd', 'w', 'w', 'w', 'a', 'w', 'd', 'w', 'w', 'w', 'a', 'd', 'd', 'a', 'w', 'd', 'a', 'a', 'd', 'w', 'a', 'd', 'w', 'd', 'a', 'd', 'w', 'd']",0
Prof Ellis1,"['d', 'd', 'd', 'a', 'w', 'w', 'a', 'a', 'w', 'a', 'w', 'a', 'w', 'w', 'a', 'w', 'w', 'w', 'w', 'w', 'd', 'a', 'a', 'w', 'w', 'a', 'd', 'd', 'a', 'a', 'w', 'w', 'w', 'd', 'd', 'w', 'd', 'a', 'w', 'w']",35.0
Prof Ellis2,"['a', 'd', 'a', 'a', 'd', 'w', 'w', 'a', 'w', 'd', 'w', 'd', 'd', 'w', 'a', 'd', 'a', 'w', 'w', 'a', 'a', 'w', 'a', 'd', 'd', 'd', 'w', 'a', 'a', 'w', 'w', 'd', 'd', 'w', 'a', 'a', 'w', 'd', 'a', 'd']",-0.5
Prof Ellis3,"['d', 'd', 'w', 'a', 'a', 'w', 'w', 'a', 'a', 'd', 'w', 'w', 'w', 'w', 'w', 'a', 'a', 'd', 'a', 'd', 'w', 'a', 'a', 'a', 'a', 'w', 'a', 'w', 'a', 'd', 'a', 'w', 'w', 'w', 'w', 'd', 'd', 'd', 'a', 'a']",158.5
Prof Ellis4,"['a', 'a', 'd', 'a', 'w', 'a', 'w', 'w', 'a', 'a', 'w', 'a', 'a', 'd', 'a', 'w', 'd', 'a', 'w', 'w', 'd', 'a', 'w', 'w', 'w', 'd', 'w', 'w', 'd', 'd', 'a', 'a', 'a', 'd', 'w', 'a', 'a', 'w', 'd', 'w']",-52.5
Prof Ellis5,"['w', 'd', 'd', 'a', 'w', 'w', 'w', 'a', 'a', 'w', 'a', 'd', 'd', 'd', 'd', 'a', 'a', 'w', 'd', 'w', 'd', 'd', 'w', 'w', 'a', 'w', 'a', 'a', 'a', 'a', 'a', 'w', 'w', 'a', 'w', 'w', 'a', 'w', 'd', 'd']",140
Prof Ellis6,"['w', 'w', 'a', 'd', 'a', 'd', 'd', 'a', 'a', 'a', 'd', 'w', 'd', 'd', 'a', 'd', 'd', 'a', 'a', 'w', 'w', 'd', 'w', 'd', 'w', 'd', 'w', 'w', 'w', 'a', 'a', 'a', 'd', 'a', 'a', 'd', 'a', 'd', 'd', 'w']",0
Prof Ellis7,"['d', 'w', 'a', 'a', 'd', 'w', 'd', 'a', 'w', 'd', 'a', 'w', 'w', 'a', 'a', 'w', 'd', 'a', 'd', 'a', 'w', 'w', 'd', 'w', 'a', 'd', 'd', 'd', 'a', 'd', 'd', 'd', 'd', 'd', 'a', 'a', 'w', 'd', 'a', 'w']",0
Prof Ellis8,"['a', 'd', 'a', 'd', 'w', 'd', 'a', 'w', 'w', 'w', 'd', 'd', 'a', 'd', 'a', 'a', 'w', 'a', 'a', 'w', 'a', 'w', 'a', 'a', 'w', 'a', 'd', 'w', 'w', 'a', 'w', 'w', 'a', 'a', 'w', 'd', 'w', 'd', 'a', 'd']",42.5
Prof Ellis9,"['d', 'd', 'd', 'a', 'd', 'a', 'd', 'w', 'd', 'd', 'a', 'a', 'a', 'w', 'w', 'd', 'd', 'd', 'a', 'w', 'a', 'a', 'w', 'd', 'w', 'd', 'd', 'a', 'w', 'd', 'w', 'd', 'a', 'w', 'a', 'w', 'd', 'a', 'd', 'a']",95.0
Prof Ellis10,"['w', 'd', 'a', 'w', 'w', 'd', 'w', 'd', 'a', 'd', 'a', 'd', 'a', 'w', 'd', 'd', 'a', 'd', 'a', 'w', 'w', 'w', 'a', 'd', 'w', 'd', 'a', 'w', 'd', 'd', 'a', 'a', 'w', 'd', 'd', 'w', 'd', 'd', 'd', 'a']",59.5
Prof Ellis11,"['a', 'w', 'a', 'w', 'a', 'a', 'd', 'w', 'a', 'd', 'd', 'w', 'w', 'd', 'd', 'd', 'w', 'd', 'd', 'w', 'd', 'w', 'a', 'd', 'w', 'd', 'd', 'w', 'w', 'a', 'w', 'd', 'a', 'a', 'w', 'a', 'd', 'w', 'w', 'd']",100
